epoch,accuracy,loss,val_accuracy,val_loss
0,0.4449404776096344,2.540928840637207,0.731249988079071,0.9319963455200195
1,0.726934552192688,1.0068165063858032,0.809374988079071,0.6671725511550903
2,0.741815447807312,0.8628100156784058,0.7718750238418579,0.8050404787063599
3,0.7559523582458496,0.877782940864563,0.7718750238418579,0.7356039881706238
4,0.7834821343421936,0.7286884784698486,0.762499988079071,0.795303463935852
5,0.800595223903656,0.672113835811615,0.796875,0.6520868539810181
6,0.800595223903656,0.7155696153640747,0.824999988079071,0.5610543489456177
7,0.8430059552192688,0.5548199415206909,0.8531249761581421,0.4908391535282135
8,0.8444940447807312,0.5122278928756714,0.846875011920929,0.44080695509910583
9,0.8467261791229248,0.5180964469909668,0.8500000238418579,0.4747954308986664
10,0.8697916865348816,0.39848342537879944,0.862500011920929,0.44841235876083374
11,0.8660714030265808,0.45464056730270386,0.846875011920929,0.5608697533607483
12,0.8861607313156128,0.368835985660553,0.909375011920929,0.29559722542762756
13,0.8541666865348816,0.5160706639289856,0.8343750238418579,0.6137481927871704
14,0.8467261791229248,0.5450361967086792,0.8031250238418579,0.7121566534042358
15,0.8601190447807312,0.49827665090560913,0.875,0.39557525515556335
16,0.8616071343421936,0.5040732026100159,0.8999999761581421,0.30295708775520325
17,0.8720238208770752,0.459279328584671,0.871874988079071,0.4678215980529785
18,0.875,0.48617658019065857,0.8968750238418579,0.33641546964645386
19,0.8921130895614624,0.413226842880249,0.8812500238418579,0.3725840449333191
20,0.866815447807312,0.4496055245399475,0.8999999761581421,0.3086012899875641
21,0.8891369104385376,0.3703345060348511,0.8687499761581421,0.4315391182899475
22,0.882440447807312,0.4434140920639038,0.875,0.47975635528564453
23,0.8883928656578064,0.41536688804626465,0.878125011920929,0.4720311164855957
24,0.8720238208770752,0.47985538840293884,0.862500011920929,0.4055909216403961
25,0.8928571343421936,0.38040000200271606,0.8812500238418579,0.4580113887786865
26,0.90625,0.34642213582992554,0.84375,0.6241062879562378
27,0.8735119104385376,0.4723770022392273,0.875,0.4070053696632385
28,0.878720223903656,0.45059236884117126,0.878125011920929,0.4698445796966553
29,0.8965773582458496,0.3679733872413635,0.8843749761581421,0.4380565583705902
30,0.8816964030265808,0.46675220131874084,0.8687499761581421,0.5087197422981262
31,0.8995535969734192,0.3872063457965851,0.862500011920929,0.45754605531692505
32,0.871279776096344,0.4493574798107147,0.887499988079071,0.3697528839111328
33,0.8653273582458496,0.52253258228302,0.903124988079071,0.3176937699317932
34,0.886904776096344,0.5066768527030945,0.893750011920929,0.3816111981868744
35,0.9122023582458496,0.3265923261642456,0.903124988079071,0.3888426721096039
36,0.8809523582458496,0.4628254473209381,0.8812500238418579,0.4605390429496765
37,0.8928571343421936,0.4253326654434204,0.8968750238418579,0.5417512655258179
38,0.9129464030265808,0.3257914185523987,0.8999999761581421,0.4174984395503998
39,0.8720238208770752,0.5091425180435181,0.9125000238418579,0.3846108317375183
